epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.939,2.10581,2.87784,1.99803,0.08378,0.09923,0.05439,0.02182,2.3113,3.81622,2.27055,0.0670195,0.000333136,0.000333136
2,828.206,2.03839,2.72033,1.95038,0.253,0.12621,0.08598,0.03563,2.12347,3.96317,2.18012,0.0340188,0.000665819,0.000665819
3,1226.12,1.96089,2.54578,1.88173,0.16358,0.15767,0.13239,0.05646,1.98303,3.50286,1.98136,0.00101559,0.000995901,0.000995901
4,1621.82,1.892,2.40816,1.83072,0.17557,0.17083,0.14957,0.06749,1.88233,3.25846,1.93975,0.000991232,0.000991232,0.000991232
5,2016.86,1.8369,2.29486,1.78846,0.1801,0.17974,0.15104,0.06778,1.84926,3.53313,1.91717,0.000984449,0.000984449,0.000984449
6,2411.44,1.8002,2.20795,1.7597,0.19115,0.20689,0.17613,0.08229,1.83485,3.18443,1.88685,0.000975773,0.000975773,0.000975773
7,2807.04,1.77831,2.15115,1.7416,0.21464,0.20868,0.18792,0.08991,1.79775,3.33088,1.85535,0.000965239,0.000965239,0.000965239
8,3202.87,1.76147,2.10869,1.72572,0.22097,0.20729,0.19384,0.09041,1.7709,3.18615,1.8334,0.000952889,0.000952889,0.000952889
9,3602.39,1.7447,2.06022,1.70698,0.22126,0.21552,0.20158,0.0969,1.73802,3.17767,1.78631,0.000938772,0.000938772,0.000938772
10,4007.85,1.72162,2.02808,1.70083,0.23489,0.22081,0.21443,0.10564,1.72915,3.16065,1.78307,0.000922942,0.000922942,0.000922942
11,4415.26,1.71132,1.98925,1.68637,0.23407,0.21963,0.21406,0.10611,1.69133,3.13018,1.7554,0.000905463,0.000905463,0.000905463
12,4819.95,1.68988,1.94391,1.66892,0.23166,0.22564,0.21703,0.10927,1.6937,3.17285,1.77473,0.000886404,0.000886404,0.000886404
13,5224.32,1.67869,1.91733,1.65997,0.23947,0.22762,0.22343,0.11317,1.70006,3.20205,1.76939,0.000865839,0.000865839,0.000865839
14,5630.11,1.67083,1.89482,1.6524,0.2472,0.2256,0.23278,0.11906,1.67415,3.08029,1.74701,0.000843851,0.000843851,0.000843851
15,6035.15,1.65485,1.85614,1.6461,0.24067,0.23641,0.23049,0.11879,1.67401,3.23385,1.75922,0.000820525,0.000820525,0.000820525
16,6440.34,1.64928,1.84125,1.63531,0.23335,0.24606,0.23609,0.12336,1.64871,3.11227,1.7277,0.000795954,0.000795954,0.000795954
17,6845.54,1.63686,1.80577,1.62537,0.24252,0.24213,0.24156,0.12618,1.64879,3.19312,1.72915,0.000770234,0.000770234,0.000770234
18,7252.48,1.62444,1.78103,1.61937,0.2559,0.23886,0.24411,0.12892,1.64462,3.18598,1.72648,0.000743468,0.000743468,0.000743468
19,7661.34,1.60829,1.75229,1.60505,0.24536,0.25477,0.24847,0.13121,1.65187,3.14374,1.7345,0.000715761,0.000715761,0.000715761
20,8069.61,1.60231,1.74409,1.6,0.25188,0.24921,0.25173,0.13432,1.64292,3.12019,1.72241,0.000687222,0.000687222,0.000687222
21,8478.17,1.59504,1.71781,1.59187,0.25546,0.25295,0.2557,0.13655,1.64336,3.12027,1.72292,0.000657963,0.000657963,0.000657963
22,8885.3,1.58562,1.7037,1.5874,0.26087,0.25136,0.25763,0.13739,1.63805,3.13865,1.72399,0.000628101,0.000628101,0.000628101
23,9292.52,1.57583,1.69232,1.5798,0.25732,0.25233,0.25993,0.1396,1.63972,3.12322,1.72144,0.000597754,0.000597754,0.000597754
24,9709.23,1.57029,1.6615,1.57362,0.26423,0.25076,0.26233,0.1418,1.62884,3.13255,1.71252,0.00056704,0.00056704,0.00056704
25,10123.5,1.55302,1.63637,1.56074,0.26671,0.24923,0.26444,0.14312,1.62618,3.13379,1.71042,0.000536081,0.000536081,0.000536081
26,10535.1,1.54452,1.61574,1.5583,0.26329,0.25257,0.2653,0.14413,1.62178,3.13293,1.70784,0.000505,0.000505,0.000505
